property,annotation_id_0,response
material,179516,plastic
material,76249,plastic
material,139872,plastic
material,8144,plastic
material,41316,plastic
material,134882,plastic
material,238498,plastic
material,211780,plastic
material,226882,plastic
material,114142,plastic
material,42130,plastic
material,215348,plastic
material,267839,plastic
material,143307,plastic
material,190403,plastic
material,292716,plastic
material,67149,plastic
material,139893,plastic
material,71043,plastic
material,173431,plastic
material,112577,plastic
material,71074,plastic
material,26329,plastic
material,270439,plastic
material,173304,plastic
material,215419,plastic
material,75995,plastic
material,160497,plastic
material,69459,plastic
material,282951,plastic
material,53969,plastic
material,140108,plastic
material,125078,plastic
material,149543,plastic
material,143285,plastic
material,198687,plastic
material,230129,plastic
material,242836,plastic
material,54293,plastic
material,204062,plastic
material,239718,plastic
material,305039,plastic
material,26136,plastic
material,28452,plastic
material,3451,plastic
material,38165,plastic
material,279889,plastic
material,209875,plastic
material,199985,plastic
material,146623,plastic
material,15301,plastic
material,32377,plastic
material,14145,plastic
material,151109,plastic
material,303867,plastic
material,114103,plastic
material,141012,plastic
material,181082,plastic
material,42008,plastic
material,136120,plastic
material,185141,plastic
material,170886,plastic
material,146201,plastic
material,85547,plastic
material,154613,plastic
material,77705,plastic
material,266527,plastic
material,64651,plastic
material,255535,plastic
material,152256,plastic
material,43402,plastic
material,301802,plastic
material,219273,plastic
material,2906,plastic
material,137538,plastic
material,197328,plastic
material,255554,plastic
material,304899,plastic
material,136953,plastic
material,299850,plastic
material,111389,plastic
material,83641,plastic
material,43378,plastic
material,57868,plastic
material,173625,plastic
material,110250,plastic
material,150091,plastic
material,233053,plastic
material,266129,plastic
material,62481,plastic
material,214445,plastic
material,80846,plastic
material,266526,plastic
material,191048,plastic
material,307463,plastic
material,32512,plastic
material,188414,plastic
material,258978,plastic
material,136925,plastic
material,110151,plastic
material,258907,plastic
material,219368,plastic
material,265710,plastic
material,42607,plastic
material,75074,plastic
material,63642,plastic
material,93206,plastic
material,163916,plastic
material,272431,plastic
material,48085,plastic
material,67189,plastic
material,119736,plastic
material,25872,plastic
material,76289,plastic
material,149350,plastic
material,82538,plastic
material,41186,plastic
material,137493,plastic
material,241956,plastic
material,97912,plastic
material,179655,plastic
material,270796,plastic
material,145035,plastic
material,271301,plastic
material,53610,plastic
material,137815,plastic
material,274665,plastic
material,211752,plastic
material,25579,plastic
material,264198,plastic
material,121660,plastic
material,233061,plastic
material,20147,plastic
material,309097,plastic
material,244848,plastic
material,191480,plastic
material,266162,plastic
material,63849,plastic
material,308681,plastic
material,88535,plastic
material,1998,plastic
material,148916,plastic
material,148915,plastic
material,63791,plastic
material,98445,glass
material,215250,glass
material,260813,glass
material,177274,glass
material,295859,glass
material,142921,glass
material,210403,glass
material,175022,glass
material,206568,glass
material,8525,glass
material,137290,glass
material,209895,glass
material,145795,glass
material,93406,glass
material,5124,glass
material,28766,glass
material,35675,glass
material,226362,glass
material,243510,glass
material,186260,glass
material,276538,glass
material,186252,glass
material,35694,glass
material,182677,glass
material,31194,glass
material,237126,glass
material,182631,glass
material,288285,glass
material,219704,glass
material,36271,glass
material,206631,glass
material,98062,glass
material,186481,glass
material,294130,glass
material,150564,glass
material,87362,glass
material,220691,glass
material,39849,glass
material,221131,glass
material,68519,glass
material,90668,glass
material,138600,glass
material,97198,glass
material,121844,glass
material,18144,glass
material,188304,glass
material,124210,glass
material,301558,glass
material,90534,glass
material,248187,glass
material,51035,glass
material,79949,glass
material,92949,metal
material,253099,metal
material,87483,metal
material,55019,metal
material,93233,metal
material,40345,metal
material,111726,metal
material,179729,metal
material,91750,metal
material,254089,metal
material,297959,metal
material,68698,metal
material,8586,metal
material,93142,metal
material,298025,metal
material,168491,metal
material,254240,metal
material,297850,metal
material,93108,metal
material,297050,metal
material,56728,metal
material,55363,metal
material,297839,metal
material,268363,metal
material,56660,metal
material,148689,metal
material,85185,metal
material,55016,metal
material,206580,metal
material,55161,metal
material,55017,metal
material,148543,metal
material,93644,paper
material,127642,paper
material,32679,paper
material,170439,paper
material,193832,paper
material,202332,paper
material,216122,paper
material,289460,paper
material,240985,paper
material,37841,paper
material,158842,paper
material,64491,paper
material,208558,paper
material,38277,paper
material,299353,paper
material,78425,paper
material,79547,paper
material,69430,paper
material,75568,paper
material,283938,paper
material,239963,paper
material,93383,paper
material,296133,paper
material,65595,paper
material,44279,paper
material,227107,paper
material,197058,paper
material,3358,paper
material,210389,paper
material,89170,paper
material,67998,paper
material,46052,paper
material,106805,paper
material,244530,paper
material,203360,paper
material,226482,paper
material,108646,paper
material,57483,paper
material,280276,paper
material,270734,paper
material,256586,paper
material,289795,paper
material,120276,paper
material,251809,paper
material,144025,paper
material,44056,paper
material,49271,paper
material,22023,paper
material,278520,paper
material,200641,paper
material,52173,paper
material,296549,paper
material,29853,paper
material,158629,paper
material,53702,paper
material,253359,paper
material,62018,paper
material,224366,paper
material,48763,paper
material,199165,paper
material,244346,paper
material,147817,paper
material,110787,paper
material,209343,paper
material,178932,paper
material,139954,paper
material,108939,paper
material,226494,paper
material,48597,paper
material,125693,paper
material,147687,paper
material,92312,paper
material,116100,paper
material,9336,paper
material,40220,paper
material,157773,paper
material,247928,paper
material,203458,paper
material,291782,paper
material,185316,paper
material,183947,paper
material,144736,paper
material,134724,paper
material,154780,paper
material,87679,paper
material,112596,paper
material,266038,paper
material,292181,paper
material,170460,paper
material,50089,paper
material,85328,paper
material,67431,paper
material,181354,paper
material,244256,paper
material,173417,paper
material,218722,paper
material,160678,paper
material,1014,paper
material,204961,paper
material,188573,paper
material,281740,paper
material,177825,paper
material,25182,paper
material,161139,paper
material,282239,paper
material,287125,paper
material,85441,paper
material,304991,paper
material,49873,paper
material,55606,paper
material,139651,paper
material,69386,paper
material,103849,paper
material,126574,paper
material,52375,paper
material,233063,paper
material,305961,paper
material,11616,paper
material,62196,paper
material,278512,paper
material,25598,paper
material,30442,paper
material,134407,paper
material,149716,paper
material,205031,paper
material,180461,paper
material,209066,paper
material,77877,paper
material,174495,paper
material,73032,paper
material,265701,paper
material,263128,paper
material,112452,paper
material,71475,paper
material,301687,paper
material,292742,paper
material,235721,paper
material,50519,paper
material,1699,paper
material,130198,paper
material,287185,paper
material,239917,paper
material,168030,paper
material,305351,paper
material,251432,paper
material,296279,paper
material,198477,paper
material,123139,fabric
material,159762,fabric
material,85745,fabric
material,232207,fabric
material,103318,fabric
material,276524,fabric
material,11473,fabric
material,270695,fabric
material,132202,fabric
material,220605,fabric
material,257053,fabric
material,83464,fabric
material,123212,fabric
material,212427,fabric
material,262694,fabric
material,51783,fabric
material,212354,fabric
material,242525,fabric
material,124734,fabric
material,285744,fabric
material,298264,fabric
material,109506,fabric
material,89380,fabric
material,56508,fabric
material,164383,fabric
material,123455,fabric
material,14625,fabric
material,26217,fabric
material,187668,fabric
material,309037,fabric
material,95008,fabric
material,129451,fabric
material,53057,fabric
material,110980,fabric
material,264506,fabric
material,187693,fabric
material,123237,fabric
material,207758,fabric
material,120861,fabric
material,254426,fabric
material,227628,fabric
material,138050,fabric
material,58254,fabric
material,251015,fabric
material,53103,fabric
material,147956,fabric
material,169033,fabric
material,194594,fabric
material,119380,fabric
material,303435,fabric
material,145652,fabric
material,49722,fabric
material,279031,fabric
material,236007,fabric
material,29478,fabric
material,100186,fabric
material,258016,fabric
material,224895,fabric
material,212543,fabric
material,265051,fabric
material,41929,fabric
material,88981,fabric
material,202946,fabric
material,140550,fabric
material,231171,fabric
material,180768,fabric
material,152582,fabric
material,105561,fabric
material,227592,fabric
material,232049,fabric
material,41891,fabric
material,62655,fabric
material,202765,fabric
material,133675,fabric
material,95170,fabric
material,131832,fabric
material,265068,fabric
material,246279,fabric
material,246550,fabric
material,35483,fabric
material,265028,fabric
material,50705,fabric
material,231982,fabric
material,187741,fabric
material,298683,fabric
material,54540,fabric
material,76476,fabric
material,176396,fabric
material,100908,fabric
material,58169,fabric
material,222314,fabric
material,100938,fabric
material,95042,fabric
material,55850,fabric
material,105302,fabric
material,231131,fabric
material,246208,fabric
material,231849,fabric
material,38315,fabric
material,264755,fabric
material,13950,fabric
material,41924,fabric
material,222628,fabric
material,278430,fabric
material,108216,fabric
material,123053,fabric
material,88109,fabric
material,16324,fabric
material,40618,fabric
material,17657,fabric
material,112020,fabric
material,187740,fabric
material,227595,fabric
material,37410,fabric
material,142467,fabric
material,187490,fabric
material,166506,fabric
material,284322,fabric
material,269000,fabric
material,195242,fabric
material,44506,fabric
material,219016,fabric
material,887,fabric
material,16304,fabric
material,100673,fabric
material,77513,fabric
material,198606,fabric
material,24634,fabric
material,16302,fabric
material,105160,fabric
material,2,fabric
material,285558,fabric
material,101322,food
material,19794,food
material,37224,food
material,58464,food
material,31104,food
material,68699,food
material,160014,food
material,211102,food
material,142969,food
material,276135,food
material,261363,food
material,162673,food
material,96176,food
material,103583,food
material,79968,food
material,216709,food
material,197,food
material,60820,food
material,236707,food
material,1815,food
material,232488,food
material,39237,food
material,20479,food
material,210867,food
material,79826,food
material,11968,food
material,204551,food
material,23285,food
material,60859,food
material,112848,food
material,57165,food
material,58287,food
material,239708,food
material,175105,food
material,259803,food
material,275878,food
material,253034,food
material,58361,food
material,92517,food
material,23194,food
material,138330,food
material,308495,food
material,204145,food
material,19933,food
material,7628,food
material,96327,food
material,220133,food
material,102362,food
material,239262,food
material,259669,food
material,161630,food
material,51587,food
material,214915,food
material,288140,food
material,213407,food
material,204158,food
material,234431,food
material,271927,food
material,232699,food
material,301169,food
material,141949,food
material,284832,food
material,30443,food
material,6343,food
material,175209,food
material,275950,food
material,280678,food
material,203290,food
material,162564,food
material,259814,food
material,39494,food
material,138323,food
material,182300,food
material,84943,food
material,83666,food
material,229099,food
material,31645,food
material,253020,food
material,300864,food
material,271742,food
material,19897,food
material,92496,food
material,113110,food
material,261239,food
material,16623,food
material,261219,food
material,48511,plastic
material,72555,plastic
material,300836,plastic
material,117302,metal
material,289459,metal
material,231090,plastic
material,281103,plastic
material,298573,metal
material,218425,plastic
material,136096,plastic
material,290532,metal
material,105409,metal
material,140352,metal
material,46872,plastic
material,82724,plastic
material,127776,plastic
material,258896,plastic
material,214492,metal
material,172469,metal